,Produit,Sous_Produit,Origine,PU_moy,PU_min,PU_max,PU_med
32186,8536690000,"Fiches et prises de courant, pour une tension n",Etats-Unis,160070.91,935.078947368421,593388.0,57519.67733333333
32188,8205200000,Marteaux et masses,Royaume-Uni,24520.93,5996.833333333333,43949.12,22168.0
32201,7613000000,Récipients en aluminium pour gaz comprimés ou li,PLUSIEURS,6127.24,1431.1781818181819,10823.3,6127.239090909091
32213,7304319000,"Tubes, tuyaux et profilés creux, sans soudure",PLUSIEURS,25344.10,1600.2417582417581,103510.0,15392.363636363636
32217,8512400000,"glaces,dégivreurs et dispositifs antibu",Allemagne,21175.60,276.1929824561403,42075.0,21175.59649122807
32227,7616999000,"Autres ouvrages en aluminium, du n° 73.16","Taiwan, Province de Chine",133131.85,133131.85,133131.85,133131.85
32230,8477900000,Parties des machines et appareils du n° 84.77,"Taiwan, Province de Chine",54075.40,2389.86625,127138.0,41925.45313896501
32233,8443990000,"Parties et accessoires d'autres imprimantes, ma",Israel,131803.60,131803.6,131803.6,131803.6
32235,4016930000,"Joints, en caoutchouc vulcanisé non durci, aut",Suede,93622.44,47146.9375,181681.03734439833,52039.333333333336
32246,8528590000,"Moniteurs autres qu'à tube cathodique ..., à",Italie,169201.27,838.1666666666666,549254.6666666666,139085.83333333334
32249,4415100000,"Caisses, caissettes, cageots, cylindres et embal",Etats-Unis,15007.53,5629.860465116279,24385.2,15007.53023255814
32251,8516900000,Parties des articles du n° 85.16,Etats-Unis,1473500.24,25368.47311827957,2921632.0,1473500.2365591398
32259,9033000000,Parties et accessoires non dénommés ni compris a,PLUSIEURS,48356.29,8664.229885057472,168253.0,16031.6
32276,8412900000,"Parties d'autres moteurs et machines motrices, d",Afrique du Sud,18381.97,10788.0,32920.71153846154,11437.205128205129
32280,8431430000,Parties de machines de sondage ou de forage des,Canada,39818.78,2240.0,102021.24561403508,21800.991803278688
32283,8486201900,"Autres appareils pour la projection, la réali",Irlande,363587.57,363587.5714285714,363587.5714285714,363587.5714285714
32288,4821900000,"Etiquettes de tous genres, en papier ou carton,",Irlande,361432.33,361432.3333333333,361432.3333333333,361432.3333333333
32290,8474900000,Parties de machines et appareils du n° 84.74,Australie,26457.80,4524.755717255717,94258.408,22945.6214953271
32295,8413600000,Autres pompes volumétriques rotatives,Italie,45907.09,21121.8,79167.46153846153,38121.14314115308
32303,8483300000,"Paliers, autres qu'à roulements incorporés; co",Australie,143754.58,56710.16,230799.0,143754.58000000002
32313,8501310000,Moteurs électriques à courant continu et mach,Autre pays,1508564.33,15469.666666666666,3001659.0,1508564.3333333333
32325,9004909000,Lunettes et articles similaires autres que sola,Allemagne,25654.36,1128.0222222222221,50180.7,25654.36111111111
32329,8535300000,"Sectionneurs et interrupteurs, pour une tensions",PLUSIEURS,14560.18,3428.551116333725,31315.0,8936.995623632385
32334,8413810000,Autres pompes du n° 84.13,Australie,46579.17,10813.0,214127.0,26681.934065934067
32344,7326909000,Autres ouvrages en fer ou en acier du n° 73.26,Australie,9109.71,289.50380228136885,42623.58974358974,1764.7450822463163
32351,8416900000,Parties des appareils du n° 84.16,Allemagne,271334.89,179076.0,363638.7272727273,271312.4255952381
32361,8501100000,Moteurs électriques d'une puissance n'excédant,Allemagne,94114.15,34437.75,150214.0,97690.71428571429
32362,9030310000,"Multimètres, sans dispositif enregistreur","Taiwan, Province de Chine",138407.00,138407.0,138407.0,138407.0
32366,9032200000,Manostats (pressostats),Allemagne,177354.50,112825.0,247952.0,174320.5
32367,8523490000,Supports optiques autres que non enregistrés,Allemagne,426471.86,4455.199421965318,1748125.0,124632.0
32372,6404191000,Autres chaussures à semelles ext. en caout. o,PLUSIEURS,21406.10,8789.8,46573.0,8855.5
32380,6210100000,Vêtements confectionnés en produits des n°s ,PLUSIEURS,42480.95,5353.706586826347,109545.0,17248.125
32383,6203220000,Ensembles de coton pour hommes ou garçonnets,PLUSIEURS,42731.56,26933.05,59610.125,41651.5
32385,8708930000,"Embrayages et leurs parties, des véhicules aut",Colombie,28587.17,28587.171875,28587.171875,28587.171875
32428,8414909000,Autres parties des  articles du n° 84.14,Suede,78422.21,50579.41935483871,106265.0,78422.20967741936
32441,2804300000,Azote,Espagne,53437.66,37367.92307692308,80963.82142857143,41981.25
32486,9027890000,"Autres instruments et appareils, du N°90.27, N",Afrique du Sud,640628.75,640628.75,640628.75,640628.75
32490,8474900000,Parties de machines et appareils du n° 84.74,Etats-Unis,400421.64,306047.62903225806,494795.65853658534,400421.6437844217
32491,8474900000,Parties de machines et appareils du n° 84.74,Suede,84789.84,10677.653429602888,172403.5960591133,78039.0572450805
32494,7326190000,"Autres ouvrages en fer ou en acier, forgés ou",Autre pays,56054.63,62.5,222293.83333333334,4884.068571428571
32504,8421290000,Appareils pour la filtration ou l'épuration de,Australie,48755.36,19430.066666666666,98963.92307692308,27872.089285714286
32505,9106100000,Horloges de pointage; horodateurs et horocompteu,PLUSIEURS,105389.25,25582.0,185196.5,105389.25
32510,8413919000,Parties de pompes autres que celles destinées,Japon,138489.80,67235.5,254042.7142857143,116340.5
32514,7314200000,"Grillages et treillis, soudés aux points de ren",Royaume-Uni,39735.55,39735.550561797754,39735.550561797754,39735.550561797754
32520,8517620000,"Appareils pr la réception, la conversion, l'é",Autre pays,227372.19,1074.468085106383,4134825.0,94055.11111111111
32521,7020009000,Autres ouvrages en verre à l'exclusion des flot,Etats-Unis,351349.00,351349.0,351349.0,351349.0
32522,8536300000,Autres appareils pour la protection des circuits,"Tcheque, Republique",451668.00,451668.0,451668.0,451668.0
32527,8409910000,Parties reconnaissables comme étant exclusivem,Australie,11416.92,9029.900383141763,13803.940625,11416.92050407088
32528,8514900000,Parties des appareils industriels ou de laborato,Australie,68432.31,4534.537906137184,189745.5,11016.90322580645
32534,8480600000,Moules pour les matières minérales,PLUSIEURS,10321.45,6559.5,15237.271186440677,9167.59090909091
32538,9027800000,"Autres instruments et appareils du n° 90.27, à",Autre pays,266262.09,656.0,2152571.0,56228.15789473684
32539,8526920000,Appareils de radiotélécommande,Autre pays,143559.70,15384.615384615385,352686.06,121669.25961538461
32564,8504900000,"Parties de transformateurs électriques, de conv",Autre pays,25787.58,7515.0,47703.52,22144.206896551725
32576,3403190000,Autres préparations contenant moins de 70% d'h,Afrique du Sud,7355.10,6472.777493606138,8237.413793103447,7355.095643354793
32577,8303000000,"forts,portes blindées et compartiments p",Espagne,5780.98,5780.978260869565,5780.978260869565,5780.978260869565
32580,8419400000,Appareils de distillation ou de rectification,PLUSIEURS,47630.52,37258.35675675676,58002.688679245286,47630.522718001026
32584,8418690000,"Autres matériels, machines et appareils pour l",PLUSIEURS,11296.32,493.59420289855075,65904.41176470589,2726.7276995305165
32587,8462900000,Autres machines du N° 84.62,Autre pays,36286.36,36286.36363636364,36286.36363636364,36286.36363636364
32588,9405110000,Lustres et autres luminaires électriques à su,Autre pays,35842.48,35842.481132075474,35842.481132075474,35842.481132075474
32590,6910900000,"Eviers, lavabos, colonnes de lavabos, baignoires",Portugal,12359.19,7991.389247311828,16727.0,12359.194623655914
32591,3922200000,"Sièges et couvercles de cuvettes d'aisance, en",Portugal,2233.95,1382.4516129032259,3085.4444444444443,2233.9480286738353
32592,7302100000,"Rails en fonte, fer ou acier",Autre pays,505.31,505.3062200956938,505.3062200956938,505.3062200956938
32605,8544200000,Câbles coaxiaux et autres conducteurs électriq,"Taiwan, Province de Chine",55734.17,3329.189189189189,108139.14285714286,55734.16602316602
32610,8536200000,"Disjoncteurs, pour une tension n'excédant pas 1",Autre pays,44440.48,466.6666666666667,116760.36363636363,33868.26520985753
32611,8531900000,Parties des appareils électriques de signalisat,Autre pays,25295.15,5019.0,66386.5,17636.029411764706
32612,8471301000,Machines automatiques de traitement de l'inform,Autre pays,81705.41,5625.0,262164.0,50500.0
32613,8467210000,"Perceuses de tous genres, y compris les perfora",Autre pays,13497.73,1000.0,42637.0,6346.590909090909
32615,8413912000,Parties de pompes à mains,Autre pays,44593.76,44593.75862068965,44593.75862068965,44593.75862068965
32616,7318110000,"fonden fonte, fer ou acier",Autre pays,2748.16,991.7799043062201,4504.545454545455,2748.1626794258377
32617,7308909100,"Buses métalliques, en fonte, fer ou acier",Inde,17648.68,1093.9413532276449,34203.42857142857,17648.68496232811
32623,9405100000,Lustres et aut. appareils d'éclairage électriq,Autre pays,9370.17,1983.3622047244094,24330.045454545456,9183.333333333334
32626,7307910000,"Brides en fonte, fer ou acier (autres qu'en aci",Autre pays,34259.49,4486.8421052631575,83142.5,24704.317708333332
32627,9015300000,Niveaux,Pays-bas,137777.73,137777.73469387754,137777.73469387754,137777.73469387754
32628,8208300000,Couteaux et lames tranchantes pour appareils de,PLUSIEURS,303907.98,41044.142857142855,894034.8947368421,140276.45
32633,8418501000,Autr. meuble (coffres…) pr conservat. et expo,PLUSIEURS,16423.86,1883.546833773087,80436.70833333333,8185.352970080803
32640,8543900000,"Parties des machines et appareils électriques,",PLUSIEURS,91851.30,558.8175609756098,492623.75,28534.25
32642,7008000000,Vitrages isolants à parois multiples.,Portugal,11282.46,11282.455555555556,11282.455555555556,11282.455555555556
32644,4008119000,"Plaques, feuilles et bandes, en caoutchouc alv",PLUSIEURS,27835.72,3918.0,41981.0,37608.166666666664
32649,8412290000,Moteurs hydrauliques autres qu'à mouvement rec,Emirats Arabes Unis,56624.45,56624.44761904762,56624.44761904762,56624.44761904762
32656,8471309000,Machines automatiques de traitement de l'inform,Etats-Unis,19635.69,8283.0,32526.793388429753,18866.48828293419
32657,3922900000,"Bidets, cuvettes d'aisance, réservoirs de chass",Maroc,507.54,507.5353535353535,507.5353535353535,507.5353535353535
32678,8807300000,Autres parties (à l'exclusion des hélices et r,France,920662.95,3567.4853801169593,4224736.0,43399.36190476191
32679,3917299000,"Tubes et tuyaux rigides, en autres matières p",Vietnam,3728.00,3728.0,3728.0,3728.0
32680,7907009000,Ouvrages en zinc à l'exception de ceux de forme,Vietnam,2982.00,2982.0,2982.0,2982.0
32681,8544499000,"Autres conducteurs électriques, pour tension",Vietnam,2662.57,2662.5714285714284,2662.5714285714284,2662.5714285714284
32682,8442300000,"Machines, appareils et matériels (…) pour la",France,11254.34,11254.342857142858,11254.342857142858,11254.342857142858
32683,8483500000,"Volants et poulies, y compris les poulies à mou",Vietnam,1864.00,1864.0,1864.0,1864.0
32684,8501520000,"Moteurs à courant alternatif, polyphasés, d'u",Vietnam,2145.29,1639.139705882353,2651.4435146443516,2145.291610263352
32685,8438900000,Parties de machines et appareils du n° 84.38,Vietnam,2548.27,2485.0,2611.549154334038,2548.274577167019
32687,8481800000,Autres articles de robinetterie et organes simil,Vietnam,1634.46,602.0,2666.9146341463415,1634.4573170731708
32688,7318190000,"Articles filetés en fonte, fer ou acier, du n",Vietnam,853.85,464.7022900763359,1243.0,853.8511450381679
32689,7318110000,"fonden fonte, fer ou acier",Vietnam,2174.50,2174.5,2174.5,2174.5
32690,7307920000,"Coudes, courbes et manchons, filetés, en fonte",Vietnam,2674.78,2674.7786259541986,2674.7786259541986,2674.7786259541986
32692,8443910000,Parties et accessoires de machines et appareils,France,122875.52,5209.739884393063,232249.75,131167.07407407407
32693,3917409000,"Accessoires (joints, coudes, raccords, par exem",Vietnam,2663.70,2663.7,2663.7,2663.7
32699,4010110000,"Courroies transporteuses , en caoutchouc vulcan",Chine,14863.31,788.4145356662181,61300.0,3521.9587934986457
32700,8412210000,Moteurs hydrauliques à mouvement rectiligne (c,Chine,6891.05,268.18238420653,43347.857142857145,3256.183783783784
